"k","avg","var","min","max"
1,2.583944188486236,0.02107136743113073,2.323116298161287,2.9136557539758106
2,2.576041457380895,0.021992392979616065,2.306104201992065,2.9182407642801595
3,2.5297862987222266,0.019388682559324532,2.2619241052191508,2.8402083822290622
4,2.503115427213368,0.018025663670997838,2.254185068391688,2.804680595831493
5,2.4835149560248633,0.015517069571144477,2.232748703370129,2.762619578491352
6,2.4685008364896253,0.01639381039579865,2.2090351896192404,2.747002790202891
7,2.456233100939685,0.016476202735819706,2.190319724528287,2.7271797150809265
8,2.4500106902902337,0.015446874180454883,2.1943274739258474,2.715523584565026
9,2.4435718893610003,0.014803309458993993,2.1956058783366323,2.704942030141317
10,2.4424810295042128,0.014860061478740184,2.198380516364367,2.7110285112265786
11,2.440286198791811,0.016471250274641653,2.1943111444430077,2.724264816380321
12,2.4368751791338163,0.01617034939072913,2.1933153398854333,2.717507979632531
13,2.4339870106601436,0.016750558188107594,2.191461342519481,2.72422858888605
14,2.432146438732135,0.017009237112533975,2.1949389876431358,2.7281642556981343
15,2.4297458334703825,0.017699641308748133,2.175473103693074,2.7329649923076733
16,2.4297523687927436,0.017586978210627113,2.172111835923362,2.7326905061465494
17,2.427829188696523,0.018066638194973995,2.166353052339423,2.7352874381657757
18,2.423716699122982,0.017962532423324167,2.164373386215505,2.7182040331369253
19,2.42384328346482,0.01778781072201564,2.1719253249318684,2.715942821238289
20,2.4234561582467853,0.017371297641997192,2.1687206913368486,2.7069822467439884
21,2.423697629160677,0.018128708908081725,2.1718566324918185,2.7238630685941136
22,2.4215989698821407,0.018646876288851498,2.1746594707272044,2.725542240299849
23,2.4234271187002143,0.018526187547514006,2.1755541608627333,2.7258287796214664
24,2.423538197311224,0.017884605792735413,2.1744477566099216,2.7143189352079995
25,2.424532618511502,0.01773277657933593,2.160435998645379,2.712085605192506
26,2.424130647477371,0.01771306513684881,2.165636054388665,2.7113735751180923
27,2.4258642264406673,0.017690556369782694,2.1767232608879294,2.7182312602026784
28,2.4264495460591577,0.01772043914655688,2.1804805295600067,2.7205189551799958
29,2.427124203794419,0.018270217182831422,2.1829327829830083,2.722222978798509
30,2.4295466060437865,0.018841630970311128,2.183174556160896,2.7289713382984995
31,2.4296271365281594,0.01902341987860547,2.1828383519246697,2.7314582633328928
32,2.4288270379241386,0.01962628502965812,2.1783734669827775,2.7396209910926856
33,2.4288863883775305,0.019484129325739525,2.179073695836897,2.7416142154684784
34,2.429388916094387,0.020733566652516,2.1837777654309027,2.7433292446333954
35,2.4308911328511145,0.019417550084466394,2.173140230147681,2.7425631540504547
36,2.4291456527472226,0.01915078720504915,2.174313021459848,2.7330225306145617
37,2.4296514780443434,0.018851747771278245,2.175891193525397,2.732806630302526
38,2.430278301630616,0.018662896144207138,2.178632069007499,2.732684927996205
39,2.4299356215217953,0.020134666312372745,2.1765568952137713,2.738932036576807
40,2.4263418696419494,0.020586099536966784,2.174796243032139,2.733671018711178
41,2.423528089264118,0.021136507672993094,2.173814690157339,2.736260538983762
42,2.423672989311806,0.022080389410657528,2.1757527149597866,2.7413915137361764
43,2.4238483664039516,0.023580743438831875,2.179900374243754,2.74777849781866
44,2.4247867691942266,0.023452672152936675,2.1790788182095397,2.749424199192444
45,2.424683018693375,0.023404903414729387,2.1669790853379887,2.748591142510785
46,2.4247633018168493,0.022547229038371995,2.173543634302297,2.743925014845078
47,2.425907758644515,0.0232477007213498,2.175948096118471,2.748733804421389
48,2.426725969971635,0.024272622080458717,2.176683649507294,2.749747012969837
49,2.4264148510731864,0.024078177956785775,2.1767255241061214,2.7436890949092905
50,2.427067462931763,0.025112533404201588,2.176706927439567,2.744512796647788
51,2.4276341606469893,0.025503270062959903,2.177579806961243,2.7477691935448387
52,2.4293631063286147,0.024044041539157106,2.184764590422995,2.7422657207861274
53,2.430890119045627,0.0235255670809287,2.186447194636362,2.7382895942787346
54,2.431008509508346,0.023102668876105202,2.186205208415706,2.7347146580424297
55,2.43341291291201,0.023717964505177703,2.1831613224721833,2.740357873951505
56,2.429499822966329,0.023180902128236865,2.1828655070687004,2.729314117822058
57,2.42975965377216,0.024809535864510356,2.176538393769649,2.7472979031146103
58,2.4305070526850736,0.02412347463178198,2.1778202633392416,2.7476024800234122
59,2.4312469825321363,0.021516321904349187,2.1772982144311843,2.710235486410947
60,2.431509624528526,0.021072703940006658,2.179912653253782,2.7068387346485334
61,2.432501443167881,0.020775520340867194,2.1790316582195772,2.7020717628449633
62,2.434305625751021,0.0202094705382014,2.1771138204279104,2.668537698757835
63,2.4356179980853048,0.020447455023968122,2.177818473536979,2.670242505398126
64,2.4344474792366984,0.02038408133788816,2.1816916289648023,2.6732366003752333
65,2.432536667145637,0.019376125590997932,2.174201291972129,2.6802397236037927
66,2.433187849229026,0.018878274139136893,2.1748748562893696,2.6785243461801103
67,2.43318594069329,0.019754684552461304,2.1751588241311857,2.6816139193839335
68,2.433323472896747,0.020320455292218424,2.174772201550487,2.6995854256141825
69,2.4320354353139657,0.020441465068827085,2.1690468837476455,2.678086623343161
70,2.4327657810444188,0.02033772649943748,2.1660937011136636,2.677109079639504
71,2.434159872520115,0.020118820050622144,2.165454737730745,2.672051014545509
72,2.4344816082352807,0.01989857021992611,2.167959727713664,2.6707174088220498
73,2.435573407872642,0.019781359587863385,2.1747622910651496,2.6741763092916355
74,2.436994722317448,0.01895375778441503,2.1787811765946006,2.6692306018404386
75,2.4369618865472553,0.019287813196822556,2.172771596806702,2.668623342517905
76,2.438000331733799,0.019779620829911332,2.172194889662174,2.6682347239541913
77,2.439296211652295,0.019677007931435727,2.1717830977744996,2.666634076914875
78,2.4379284924097973,0.02081661033175559,2.1745030794127387,2.6674255527858346
79,2.436820695013129,0.02027980134099503,2.1749253118191083,2.6730346873371804
80,2.433100129111056,0.02080679605823782,2.1725203937365114,2.6855758041261573
81,2.4330007624924628,0.02096432292444874,2.169497231378593,2.6810371709232785
82,2.4334664090383287,0.0194492353259935,2.176104875639315,2.669153885581505
83,2.433912037841303,0.01830273008645848,2.1772893876015997,2.6584949961728697
84,2.434893215586464,0.017710458058989513,2.1791020305668334,2.6548279512052617
85,2.433097103244063,0.02082854303817052,2.1624522929684113,2.6635801696912176
86,2.435721814627286,0.019902768339851395,2.1677575776628073,2.6638620219606906
87,2.4356310937035066,0.02009962233383162,2.170452905752107,2.6646766019620394
88,2.4361249801705247,0.020161441842825402,2.169993454316913,2.6664702502212436
89,2.4375426959517905,0.01915477102412848,2.173081861289012,2.662596149329098
90,2.437468275796054,0.017990567225400128,2.170182638532798,2.640095756603905
91,2.4378762958603124,0.01685112921756564,2.1707765491672255,2.6222654420150415
92,2.437956154098609,0.016819800989046278,2.1736352289381506,2.6205580632770347
93,2.437417449176185,0.01721227605613888,2.169848764448454,2.624517943558279
94,2.4384550665262257,0.016631121022157407,2.1718448216427158,2.6247175768069044
95,2.4393639130726843,0.017438865915341245,2.1597148927009067,2.6241355630408605
96,2.438281561156149,0.01636403493355214,2.1644473269180695,2.612348576994035
97,2.4368861724302704,0.016719273776316722,2.165723379783991,2.610130564520082
98,2.435443749980129,0.018369785915718254,2.15920889263521,2.6348888172976666
99,2.4370935190502676,0.018941304417460548,2.159491820966586,2.6281835582331268
100,2.4357959936697853,0.017306846307160707,2.163516641282205,2.625794960680167
